degree,gamma,coef0,C,class_weight,kernel,true_positive,false_positive,true_negative,false_negative,positive_F1,negaitve_F1,mean_F1
2.0,1.156925355176084e-05,0.0,0.01,balanced,poly,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
2.0,1.156925355176084e-05,1.0,0.01,balanced,poly,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
2.0,0.0001983713753468722,0.0,0.01,balanced,poly,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
2.0,0.0001983713753468722,1.0,0.01,balanced,poly,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
2.0,0.003401360544217687,0.0,0.01,balanced,poly,337,1521,67,0,0.3070615034168565,0.0809667673716012,0.19401413539422885
2.0,0.003401360544217687,1.0,0.01,balanced,poly,311,516,1072,26,0.5343642611683849,0.7982129560685034,0.6662886086184441
2.0,0.05832118435198043,0.0,0.01,balanced,poly,236,164,1424,101,0.6404341926729986,0.9148731127529715,0.777653652712985
2.0,0.05832118435198043,1.0,0.01,balanced,poly,254,151,1437,83,0.6846361185983828,0.9247104247104247,0.8046732716544038
2.0,1.0,0.0,0.01,balanced,poly,205,134,1454,132,0.606508875739645,0.9161940768746062,0.7613514763071256
2.0,1.0,1.0,0.01,balanced,poly,212,127,1461,125,0.6272189349112426,0.9206049149338374,0.77391192492254
3.0,1.156925355176084e-05,0.0,0.01,balanced,poly,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
3.0,1.156925355176084e-05,1.0,0.01,balanced,poly,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
3.0,0.0001983713753468722,0.0,0.01,balanced,poly,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
3.0,0.0001983713753468722,1.0,0.01,balanced,poly,124,376,1212,213,0.2962962962962963,0.8045137736475274,0.5504050349719118
3.0,0.003401360544217687,0.0,0.01,balanced,poly,336,1467,121,1,0.31401869158878504,0.1415204678362573,0.22776957971252115
3.0,0.003401360544217687,1.0,0.01,balanced,poly,304,440,1148,33,0.5624421831637373,0.8291802094618996,0.6958111963128184
3.0,0.05832118435198043,0.0,0.01,balanced,poly,220,177,1411,117,0.5994550408719346,0.9056482670089859,0.7525516539404602
3.0,0.05832118435198043,1.0,0.01,balanced,poly,220,125,1463,117,0.6451612903225806,0.9236111111111112,0.7843862007168458
3.0,1.0,0.0,0.01,balanced,poly,224,178,1410,113,0.6062246278755075,0.9064609450337512,0.7563427864546293
3.0,1.0,1.0,0.01,balanced,poly,223,166,1422,114,0.6143250688705234,0.910371318822023,0.7623481938462733
4.0,1.156925355176084e-05,0.0,0.01,balanced,poly,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
4.0,1.156925355176084e-05,1.0,0.01,balanced,poly,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
4.0,0.0001983713753468722,0.0,0.01,balanced,poly,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
4.0,0.0001983713753468722,1.0,0.01,balanced,poly,317,862,726,20,0.4182058047493404,0.622107969151671,0.5201568869505057
4.0,0.003401360544217687,0.0,0.01,balanced,poly,337,1507,81,0,0.30903255387436956,0.09706411024565609,0.20304833206001283
4.0,0.003401360544217687,1.0,0.01,balanced,poly,295,353,1235,42,0.5989847715736041,0.8621291448516579,0.730556958212631
4.0,0.05832118435198043,0.0,0.01,balanced,poly,185,122,1466,152,0.5745341614906833,0.9145352464129757,0.7445347039518295
4.0,0.05832118435198043,1.0,0.01,balanced,poly,214,103,1485,123,0.654434250764526,0.9292866082603254,0.7918604295124256
4.0,1.0,0.0,0.01,balanced,poly,185,122,1466,152,0.5745341614906833,0.9145352464129757,0.7445347039518295
4.0,1.0,1.0,0.01,balanced,poly,190,115,1473,147,0.5919003115264797,0.9183291770573566,0.7551147442919182
5.0,1.156925355176084e-05,0.0,0.01,balanced,poly,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
5.0,1.156925355176084e-05,1.0,0.01,balanced,poly,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
5.0,0.0001983713753468722,0.0,0.01,balanced,poly,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
5.0,0.0001983713753468722,1.0,0.01,balanced,poly,335,1113,475,2,0.3753501400560224,0.4600484261501211,0.41769928310307175
5.0,0.003401360544217687,0.0,0.01,balanced,poly,337,1502,86,0,0.30974264705882354,0.1027479091995221,0.20624527812917282
5.0,0.003401360544217687,1.0,0.01,balanced,poly,290,287,1301,47,0.6345733041575492,0.8862397820163488,0.760406543086949
5.0,0.05832118435198043,0.0,0.01,balanced,poly,266,372,1216,71,0.5456410256410257,0.8459130434782609,0.6957770345596432
5.0,0.05832118435198043,1.0,0.01,balanced,poly,219,134,1454,118,0.6347826086956522,0.920253164556962,0.777517886626307
5.0,1.0,0.0,0.01,balanced,poly,266,372,1216,71,0.5456410256410257,0.8459130434782609,0.6957770345596432
5.0,1.0,1.0,0.01,balanced,poly,264,337,1251,73,0.5628997867803838,0.8592032967032966,0.7110515417418402
,1.156925355176084e-05,,0.01,balanced,rbf,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
,0.0001983713753468722,,0.01,balanced,rbf,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
,0.003401360544217687,,0.01,balanced,rbf,289,461,1127,48,0.531738730450782,0.815779949330438,0.67375933989061
,0.05832118435198043,,0.01,balanced,rbf,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
,1.0,,0.01,balanced,rbf,64,321,1267,273,0.1772853185595568,0.8101023017902813,0.49369381017491903
2.0,1.156925355176084e-05,0.0,0.1,balanced,poly,95,483,1105,242,0.20765027322404372,0.7529812606473595,0.4803157669357016
2.0,1.156925355176084e-05,1.0,0.1,balanced,poly,95,483,1105,242,0.20765027322404372,0.7529812606473595,0.4803157669357016
2.0,0.0001983713753468722,0.0,0.1,balanced,poly,95,483,1105,242,0.20765027322404372,0.7529812606473595,0.4803157669357016
2.0,0.0001983713753468722,1.0,0.1,balanced,poly,311,597,991,26,0.4995983935742972,0.7608445297504799,0.6302214616623886
2.0,0.003401360544217687,0.0,0.1,balanced,poly,301,681,907,36,0.4564063684609553,0.7167127617542474,0.5865595651076013
2.0,0.003401360544217687,1.0,0.1,balanced,poly,294,312,1276,43,0.623541887592789,0.8778809769521844,0.7507114322724866
2.0,0.05832118435198043,0.0,0.1,balanced,poly,208,125,1463,129,0.6208955223880597,0.920125786163522,0.7705106542757909
2.0,0.05832118435198043,1.0,0.1,balanced,poly,230,124,1464,107,0.6657018813314037,0.9268755935422602,0.7962887374368319
2.0,1.0,0.0,0.1,balanced,poly,205,134,1454,132,0.606508875739645,0.9161940768746062,0.7613514763071256
2.0,1.0,1.0,0.1,balanced,poly,212,127,1461,125,0.6272189349112426,0.9206049149338374,0.77391192492254
3.0,1.156925355176084e-05,0.0,0.1,balanced,poly,95,483,1105,242,0.20765027322404372,0.7529812606473595,0.4803157669357016
3.0,1.156925355176084e-05,1.0,0.1,balanced,poly,95,483,1105,242,0.20765027322404372,0.7529812606473595,0.4803157669357016
3.0,0.0001983713753468722,0.0,0.1,balanced,poly,95,483,1105,242,0.20765027322404372,0.7529812606473595,0.4803157669357016
3.0,0.0001983713753468722,1.0,0.1,balanced,poly,311,560,1028,26,0.5149006622516556,0.7781983345950038,0.6465494984233298
3.0,0.003401360544217687,0.0,0.1,balanced,poly,324,740,848,13,0.4625267665952891,0.6925275622703144,0.5775271644328017
3.0,0.003401360544217687,1.0,0.1,balanced,poly,279,233,1355,58,0.657243816254417,0.903032322559147,0.780138069406782
3.0,0.05832118435198043,0.0,0.1,balanced,poly,224,178,1410,113,0.6062246278755075,0.9064609450337512,0.7563427864546293
3.0,0.05832118435198043,1.0,0.1,balanced,poly,222,125,1463,115,0.6491228070175439,0.9241945672773215,0.7866586871474327
3.0,1.0,0.0,0.1,balanced,poly,224,178,1410,113,0.6062246278755075,0.9064609450337512,0.7563427864546293
3.0,1.0,1.0,0.1,balanced,poly,223,166,1422,114,0.6143250688705234,0.910371318822023,0.7623481938462733
4.0,1.156925355176084e-05,0.0,0.1,balanced,poly,95,483,1105,242,0.20765027322404372,0.7529812606473595,0.4803157669357016
4.0,1.156925355176084e-05,1.0,0.1,balanced,poly,95,483,1105,242,0.20765027322404372,0.7529812606473595,0.4803157669357016
4.0,0.0001983713753468722,0.0,0.1,balanced,poly,95,483,1105,242,0.20765027322404372,0.7529812606473595,0.4803157669357016
4.0,0.0001983713753468722,1.0,0.1,balanced,poly,309,520,1068,28,0.5300171526586621,0.7958271236959762,0.6629221381773192
4.0,0.003401360544217687,0.0,0.1,balanced,poly,334,1304,284,3,0.3382278481012658,0.30293333333333333,0.3205805907172996
4.0,0.003401360544217687,1.0,0.1,balanced,poly,268,188,1400,69,0.6759142496847415,0.9159306509649984,0.7959224503248699
4.0,0.05832118435198043,0.0,0.1,balanced,poly,185,122,1466,152,0.5745341614906833,0.9145352464129757,0.7445347039518295
4.0,0.05832118435198043,1.0,0.1,balanced,poly,214,103,1485,123,0.654434250764526,0.9292866082603254,0.7918604295124256
4.0,1.0,0.0,0.1,balanced,poly,185,122,1466,152,0.5745341614906833,0.9145352464129757,0.7445347039518295
4.0,1.0,1.0,0.1,balanced,poly,190,115,1473,147,0.5919003115264797,0.9183291770573566,0.7551147442919182
5.0,1.156925355176084e-05,0.0,0.1,balanced,poly,95,483,1105,242,0.20765027322404372,0.7529812606473595,0.4803157669357016
5.0,1.156925355176084e-05,1.0,0.1,balanced,poly,127,506,1082,210,0.2618556701030928,0.7513888888888889,0.5066222794959908
5.0,0.0001983713753468722,0.0,0.1,balanced,poly,95,483,1105,242,0.20765027322404372,0.7529812606473595,0.4803157669357016
5.0,0.0001983713753468722,1.0,0.1,balanced,poly,308,492,1096,29,0.5417766051011433,0.8079616660523405,0.674869135576742
5.0,0.003401360544217687,0.0,0.1,balanced,poly,334,1350,238,3,0.330529440870856,0.26025150355385457,0.29539047221235526
5.0,0.003401360544217687,1.0,0.1,balanced,poly,262,158,1430,75,0.6922060766182299,0.9246686065308761,0.8084373415745529
5.0,0.05832118435198043,0.0,0.1,balanced,poly,266,372,1216,71,0.5456410256410257,0.8459130434782609,0.6957770345596432
5.0,0.05832118435198043,1.0,0.1,balanced,poly,219,134,1454,118,0.6347826086956522,0.920253164556962,0.777517886626307
5.0,1.0,0.0,0.1,balanced,poly,266,372,1216,71,0.5456410256410257,0.8459130434782609,0.6957770345596432
5.0,1.0,1.0,0.1,balanced,poly,264,337,1251,73,0.5628997867803838,0.8592032967032966,0.7110515417418402
,1.156925355176084e-05,,0.1,balanced,rbf,95,483,1105,242,0.20765027322404372,0.7529812606473595,0.4803157669357016
,0.0001983713753468722,,0.1,balanced,rbf,312,604,984,25,0.4980047885075818,0.7577974586060839,0.6279011235568328
,0.003401360544217687,,0.1,balanced,rbf,279,301,1287,58,0.608505997818975,0.877599727241732,0.7430528625303534
,0.05832118435198043,,0.1,balanced,rbf,95,483,1105,242,0.20765027322404372,0.7529812606473595,0.4803157669357016
,1.0,,0.1,balanced,rbf,95,483,1105,242,0.20765027322404372,0.7529812606473595,0.4803157669357016
2.0,1.156925355176084e-05,0.0,1.0,balanced,poly,95,483,1105,242,0.20765027322404372,0.7529812606473595,0.4803157669357016
2.0,1.156925355176084e-05,1.0,1.0,balanced,poly,315,685,903,22,0.4712041884816754,0.7186629526462396,0.5949335705639575
2.0,0.0001983713753468722,0.0,1.0,balanced,poly,337,1574,14,0,0.2998220640569395,0.017478152309612985,0.15865010818327624
2.0,0.0001983713753468722,1.0,1.0,balanced,poly,296,381,1207,41,0.5838264299802761,0.8511988716502116,0.7175126508152438
2.0,0.003401360544217687,0.0,1.0,balanced,poly,262,218,1370,75,0.6413708690330477,0.9033959775799538,0.7723834233065008
2.0,0.003401360544217687,1.0,1.0,balanced,poly,267,199,1389,70,0.6650062266500623,0.9117164424023629,0.7883613345262126
2.0,0.05832118435198043,0.0,1.0,balanced,poly,205,134,1454,132,0.606508875739645,0.9161940768746062,0.7613514763071256
2.0,0.05832118435198043,1.0,1.0,balanced,poly,224,126,1462,113,0.6521106259097526,0.9244388239013595,0.788274724905556
2.0,1.0,0.0,1.0,balanced,poly,205,134,1454,132,0.606508875739645,0.9161940768746062,0.7613514763071256
2.0,1.0,1.0,1.0,balanced,poly,212,127,1461,125,0.6272189349112426,0.9206049149338374,0.77391192492254
3.0,1.156925355176084e-05,0.0,1.0,balanced,poly,95,483,1105,242,0.20765027322404372,0.7529812606473595,0.4803157669357016
3.0,1.156925355176084e-05,1.0,1.0,balanced,poly,312,618,970,25,0.4925019731649566,0.7510646535036779,0.6217833133343172
3.0,0.0001983713753468722,0.0,1.0,balanced,poly,95,483,1105,242,0.20765027322404372,0.7529812606473595,0.4803157669357016
3.0,0.0001983713753468722,1.0,1.0,balanced,poly,292,360,1228,45,0.5904954499494439,0.858441104508913,0.7244682772291784
3.0,0.003401360544217687,0.0,1.0,balanced,poly,234,187,1401,103,0.6174142480211082,0.9062095730918499,0.7618119105564791
3.0,0.003401360544217687,1.0,1.0,balanced,poly,253,146,1442,84,0.6875,0.9261400128452152,0.8068200064226076
3.0,0.05832118435198043,0.0,1.0,balanced,poly,224,178,1410,113,0.6062246278755075,0.9064609450337512,0.7563427864546293
3.0,0.05832118435198043,1.0,1.0,balanced,poly,222,125,1463,115,0.6491228070175439,0.9241945672773215,0.7866586871474327
3.0,1.0,0.0,1.0,balanced,poly,224,178,1410,113,0.6062246278755075,0.9064609450337512,0.7563427864546293
3.0,1.0,1.0,1.0,balanced,poly,223,166,1422,114,0.6143250688705234,0.910371318822023,0.7623481938462733
4.0,1.156925355176084e-05,0.0,1.0,balanced,poly,95,483,1105,242,0.20765027322404372,0.7529812606473595,0.4803157669357016
